focal_theme
NATURAL_DISASTER_FLOOD
NATURAL_DISASTER_FLOODING
NATURAL_DISASTER_FLOODS
NATURAL_DISASTER_FLOODED
NATURAL_DISASTER_DROUGHT
NATURAL_DISASTER_WATER_LEVEL
NATURAL_DISASTER_FLOODWATERS
NATURAL_DISASTER_HIGH_WATER
NATURAL_DISASTER_DROUGHTS
NATURAL_DISASTER_FLASH_FLOOD
NATURAL_DISASTER_FLOOD_WATERS
NATURAL_DISASTER_FLASH_FLOODS
NATURAL_DISASTER_FLOOD_WARNING
MANMADE_DISASTER_ENVIRONMENTAL_DISASTER
NATURAL_DISASTER_FLOODWATER
NATURAL_DISASTER_FLOOD_WATER
MANMADE_DISASTER_TOXIC_WASTE
NATURAL_DISASTER_FLOODED_AREAS
NATURAL_DISASTER_FLOODED_ROADS
MANMADE_DISASTER_TOXIC_SUBSTANCE
NATURAL_DISASTER_HIGH_WATERS
NATURAL_DISASTER_FLOODED_ROAD
MANMADE_DISASTER_PIPELINE_EXPLOSION
MANMADE_DISASTER_CHEMICAL_SPILL
MANMADE_DISASTER_BURST_PIPE
NATURAL_DISASTER_DAM_FAILURE
MANMADE_DISASTER_DAM_FAILURE
NATURAL_DISASTER_OVERFLOWED_ITS_BANKS
NATURAL_DISASTER_DAM_BURST
NATURAL_DISASTER_DAM_BROKE
NATURAL_DISASTER_DAM_BREAK
MANMADE_DISASTER_RADIATION_LEAK
NATURAL_DISASTER_DAM_BREAKS
MANMADE_DISASTER_TOXIC_SPILL
MANMADE_DISASTER_RADIATION_LEAKS
MANMADE_DISASTER_PIPELINE_BLAST
MANMADE_DISASTER_PIPELINE_BURST
NATURAL_DISASTER_BURST_DAM
NATURAL_DISASTER_DAM_OVERFLOW
NATURAL_DISASTER_LEVEE_FAILURE
MANMADE_DISASTER_BURST_PIPELINE
NATURAL_DISASTER_OVERFLOWING_ITS_BANKS
MANMADE_DISASTER_LEAK_OF_RADIATION
MANMADE_DISASTER_TOXIC_LEAK
MANMADE_DISASTER_INDUSTRIAL_CATASTROPHE
MANMADE_DISASTER_EXPLOSION_ON_A_PIPELINE
MANMADE_DISASTER_BROKE_THROUGH_DAM
NATURAL_DISASTER_DAM_DISCHARGE
NATURAL_DISASTER_DAM_OVERFLOWING
NATURAL_DISASTER_FAILED_LEVEE
NATURAL_DISASTER_DAM_DISCHARGING
MANMADE_DISASTER_RIPS_PIPELINE
MANMADE_DISASTER_WASTE_DISPOSAL_INCIDENT
WB_2965_TOXIC_POLLUTION
WB_1798_WATER_POLLUTION
WB_2978_WATER_POLLUTION_LOAD
WB_161_DAMS_AND_RESERVOIRS
WB_1386_DAM_SAFETY
PIPELINE_INCIDENT_PIPELINE_DAMAGE
PIPELINE_INCIDENT_DAMAGED_THE_PIPELINE
